time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-24 00:00:00+00:00,14,1,1.0,1.0
2025-05-25 00:00:00+00:00,15,2,1.0,1.0
2025-05-26 00:00:00+00:00,14,1,1.0,1.0
2025-05-27 00:00:00+00:00,15,2,1.0,1.0
2025-05-28 00:00:00+00:00,14,1,2.0,2.0
2025-05-29 00:00:00+00:00,15,2,,
2025-05-30 00:00:00+00:00,14,1,16.0,1.0
2025-05-31 00:00:00+00:00,14,1,1.0,1.0
2025-06-01 00:00:00+00:00,14,1,7.0,3.0
2025-06-02 00:00:00+00:00,14,1,,
2025-06-03 00:00:00+00:00,117,6,87.0,2.0
2025-06-04 00:00:00+00:00,14,1,,
2025-06-05 00:00:00+00:00,14,1,,
2025-06-06 00:00:00+00:00,14,1,2.0,2.0
