time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-27 00:00:00+00:00,,,59,11
2025-09-28 00:00:00+00:00,1.0,1.0,23,8
2025-09-29 00:00:00+00:00,1.0,1.0,201,26
2025-09-30 00:00:00+00:00,3.0,3.0,132,34
2025-10-01 00:00:00+00:00,1.0,1.0,102,24
2025-10-02 00:00:00+00:00,2.0,2.0,164,22
2025-10-03 00:00:00+00:00,,,97,20
2025-10-04 00:00:00+00:00,,,19,6
2025-10-05 00:00:00+00:00,,,33,12
2025-10-06 00:00:00+00:00,2.0,1.0,127,26
2025-10-07 00:00:00+00:00,1.0,1.0,76,19
2025-10-08 00:00:00+00:00,,,73,21
2025-10-09 00:00:00+00:00,2.0,2.0,117,21
2025-10-10 00:00:00+00:00,,,69,18
2025-10-11 00:00:00+00:00,1.0,1.0,12,6
