time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-22 00:00:00+00:00,,,2,2
2024-09-23 00:00:00+00:00,,,171,21
2024-09-24 00:00:00+00:00,,,107,13
2024-09-25 00:00:00+00:00,,,121,13
2024-09-26 00:00:00+00:00,,,99,25
2024-09-27 00:00:00+00:00,,,41,9
2024-09-28 00:00:00+00:00,,,9,2
2024-09-29 00:00:00+00:00,,,9,5
2024-09-30 00:00:00+00:00,,,17,6
2024-10-01 00:00:00+00:00,,,37,12
2024-10-02 00:00:00+00:00,,,74,11
2024-10-03 00:00:00+00:00,1.0,1.0,99,20
2024-10-04 00:00:00+00:00,,,57,15
2024-10-05 00:00:00+00:00,,,23,7
