time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-13 00:00:00+00:00,20,13,83,22
2025-04-14 00:00:00+00:00,109,33,838,75
2025-04-15 00:00:00+00:00,90,38,652,81
2025-04-16 00:00:00+00:00,130,47,525,97
2025-04-17 00:00:00+00:00,77,45,339,67
2025-04-18 00:00:00+00:00,40,30,351,54
2025-04-19 00:00:00+00:00,39,29,117,39
2025-04-20 00:00:00+00:00,61,28,152,41
2025-04-21 00:00:00+00:00,45,32,201,43
2025-04-22 00:00:00+00:00,94,47,417,68
2025-04-23 00:00:00+00:00,88,35,448,94
2025-04-24 00:00:00+00:00,106,43,499,73
2025-04-25 00:00:00+00:00,63,29,362,81
2025-04-26 00:00:00+00:00,31,22,324,44
2025-04-27 00:00:00+00:00,36,14,40,12
