time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-21 00:00:00+00:00,32,5,376,58
2025-01-22 00:00:00+00:00,140,20,388,76
2025-01-23 00:00:00+00:00,82,23,300,66
2025-01-24 00:00:00+00:00,147,13,434,80
2025-01-25 00:00:00+00:00,14,4,95,24
2025-01-26 00:00:00+00:00,25,7,68,36
2025-01-27 00:00:00+00:00,86,8,461,70
2025-01-28 00:00:00+00:00,88,10,380,54
2025-01-29 00:00:00+00:00,95,21,630,54
2025-01-30 00:00:00+00:00,86,18,500,95
2025-01-31 00:00:00+00:00,204,51,490,66
2025-02-01 00:00:00+00:00,81,42,149,47
2025-02-02 00:00:00+00:00,43,25,182,29
2025-02-03 00:00:00+00:00,215,49,586,81
2025-02-04 00:00:00+00:00,70,15,86,15
