time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-26 00:00:00+00:00,85,48,49,30
2025-10-27 00:00:00+00:00,436,184,606,96
2025-10-28 00:00:00+00:00,366,140,565,106
2025-10-29 00:00:00+00:00,354,156,544,95
2025-10-30 00:00:00+00:00,482,220,452,94
2025-10-31 00:00:00+00:00,353,136,422,92
2025-11-01 00:00:00+00:00,237,141,122,50
2025-11-02 00:00:00+00:00,101,57,168,51
2025-11-03 00:00:00+00:00,372,110,335,73
2025-11-04 00:00:00+00:00,353,81,463,102
2025-11-05 00:00:00+00:00,390,92,927,123
2025-11-06 00:00:00+00:00,582,271,503,142
2025-11-07 00:00:00+00:00,877,337,449,97
2025-11-08 00:00:00+00:00,547,128,196,51
2025-11-09 00:00:00+00:00,105,44,100,25
