time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-07 00:00:00+00:00,10,3,46,19
2024-12-08 00:00:00+00:00,18,7,178,34
2024-12-09 00:00:00+00:00,17,7,234,70
2024-12-10 00:00:00+00:00,95,9,345,63
2024-12-11 00:00:00+00:00,155,13,573,87
2024-12-12 00:00:00+00:00,147,13,357,80
2024-12-13 00:00:00+00:00,250,16,331,52
2024-12-14 00:00:00+00:00,106,12,128,26
2024-12-15 00:00:00+00:00,29,13,142,29
2024-12-16 00:00:00+00:00,94,14,454,71
2024-12-17 00:00:00+00:00,157,10,527,76
2024-12-18 00:00:00+00:00,104,17,606,80
2024-12-19 00:00:00+00:00,168,21,422,63
2024-12-20 00:00:00+00:00,144,18,375,64
2024-12-21 00:00:00+00:00,15,9,32,10
