time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-20 00:00:00+00:00,8,3,91,28
2024-10-21 00:00:00+00:00,97,9,640,78
2024-10-22 00:00:00+00:00,170,8,443,88
2024-10-23 00:00:00+00:00,168,12,590,74
2024-10-24 00:00:00+00:00,121,11,435,87
2024-10-25 00:00:00+00:00,139,9,318,59
2024-10-26 00:00:00+00:00,73,12,179,33
2024-10-27 00:00:00+00:00,14,4,182,41
2024-10-28 00:00:00+00:00,161,18,689,86
2024-10-29 00:00:00+00:00,57,9,634,85
2024-10-30 00:00:00+00:00,86,11,448,89
2024-10-31 00:00:00+00:00,121,12,367,75
2024-11-01 00:00:00+00:00,17,9,175,61
2024-11-02 00:00:00+00:00,21,6,91,22
2024-11-03 00:00:00+00:00,6,4,16,8
