time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-04 00:00:00+00:00,76,50,64,20
2025-10-05 00:00:00+00:00,149,95,119,28
2025-10-06 00:00:00+00:00,255,145,574,81
2025-10-07 00:00:00+00:00,266,140,609,92
2025-10-08 00:00:00+00:00,177,82,594,101
2025-10-09 00:00:00+00:00,452,230,374,74
2025-10-10 00:00:00+00:00,453,172,452,80
2025-10-11 00:00:00+00:00,331,138,160,49
2025-10-12 00:00:00+00:00,192,82,103,43
2025-10-13 00:00:00+00:00,402,121,604,87
2025-10-14 00:00:00+00:00,417,126,371,90
2025-10-15 00:00:00+00:00,618,184,467,79
2025-10-16 00:00:00+00:00,460,198,380,85
2025-10-17 00:00:00+00:00,487,178,439,97
2025-10-18 00:00:00+00:00,88,35,66,16
