time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-01 00:00:00+00:00,12,4,85,17
2024-12-02 00:00:00+00:00,123,12,242,57
2024-12-03 00:00:00+00:00,198,14,373,60
2024-12-04 00:00:00+00:00,275,21,445,67
2024-12-05 00:00:00+00:00,23,12,439,87
2024-12-06 00:00:00+00:00,231,20,539,56
2024-12-07 00:00:00+00:00,21,8,91,27
2024-12-08 00:00:00+00:00,18,7,178,34
2024-12-09 00:00:00+00:00,17,7,234,70
2024-12-10 00:00:00+00:00,95,9,345,63
2024-12-11 00:00:00+00:00,155,13,573,87
2024-12-12 00:00:00+00:00,147,13,357,80
2024-12-13 00:00:00+00:00,250,16,331,52
2024-12-14 00:00:00+00:00,106,12,128,26
2024-12-15 00:00:00+00:00,15,10,43,8
